DATE,T2M_MAX,YEAR,HEATWAVE,CITY,POPULATION
28-03-2003,35.94,2003,False,Kolkata,4557639
29-03-2003,35.39,2003,False,Kolkata,4557639
30-03-2003,33.95,2003,False,Kolkata,4557639
31-03-2003,35.49,2003,False,Kolkata,4557639
01-04-2003,36.14,2003,False,Kolkata,4557639
02-04-2003,36.93,2003,False,Kolkata,4557639
03-04-2003,37.84,2003,False,Kolkata,4557639
04-04-2003,34.97,2003,False,Kolkata,4557639
05-04-2003,34.92,2003,False,Kolkata,4557639
06-04-2003,37.75,2003,False,Kolkata,4557639
07-04-2003,38.64,2003,False,Kolkata,4557639
08-04-2003,39.2,2003,False,Kolkata,4557639
09-04-2003,39.49,2003,False,Kolkata,4557639
10-04-2003,39.16,2003,False,Kolkata,4557639
11-04-2003,39.63,2003,False,Kolkata,4557639
12-04-2003,40.58,2003,True,Kolkata,4557639
13-04-2003,40.83,2003,True,Kolkata,4557639
14-04-2003,39.72,2003,False,Kolkata,4557639
15-04-2003,41.48,2003,True,Kolkata,4557639
16-04-2003,40.07,2003,True,Kolkata,4557639
17-04-2003,40.18,2003,True,Kolkata,4557639
18-04-2003,40.35,2003,True,Kolkata,4557639
19-04-2003,39.76,2003,False,Kolkata,4557639
20-04-2003,38.89,2003,False,Kolkata,4557639
21-04-2003,39.98,2003,False,Kolkata,4557639
22-04-2003,40.75,2003,True,Kolkata,4557639
23-04-2003,40.07,2003,True,Kolkata,4557639
24-04-2003,40.18,2003,True,Kolkata,4557639
25-04-2003,40.26,2003,True,Kolkata,4557639
26-04-2003,41.31,2003,True,Kolkata,4557639
27-04-2003,40.73,2003,True,Kolkata,4557639
28-04-2003,39.13,2003,False,Kolkata,4557639
29-04-2003,40.93,2003,True,Kolkata,4557639
30-04-2003,39.47,2003,False,Kolkata,4557639
01-05-2003,38.55,2003,False,Kolkata,4557639
02-05-2003,39.1,2003,False,Kolkata,4557639
03-05-2003,40.59,2003,True,Kolkata,4557639
04-05-2003,43.28,2003,True,Kolkata,4557639
05-05-2003,41.5,2003,True,Kolkata,4557639
06-05-2003,41.58,2003,True,Kolkata,4557639
07-05-2003,41.81,2003,True,Kolkata,4557639
08-05-2003,40.65,2003,True,Kolkata,4557639
09-05-2003,39.83,2003,False,Kolkata,4557639
10-05-2003,38.9,2003,False,Kolkata,4557639
11-05-2003,39.79,2003,False,Kolkata,4557639
12-05-2003,40.82,2003,True,Kolkata,4557639
13-05-2003,39.47,2003,False,Kolkata,4557639
14-05-2003,38.15,2003,False,Kolkata,4557639
15-05-2003,39.93,2003,False,Kolkata,4557639
16-05-2003,41.25,2003,True,Kolkata,4557639
17-05-2003,39.35,2003,False,Kolkata,4557639
18-05-2003,42.36,2003,True,Kolkata,4557639
19-05-2003,39.7,2003,False,Kolkata,4557639
20-05-2003,42.25,2003,True,Kolkata,4557639
21-05-2003,37.67,2003,False,Kolkata,4557639
22-05-2003,34.6,2003,False,Kolkata,4557639
23-05-2003,38.58,2003,False,Kolkata,4557639
24-05-2003,34.98,2003,False,Kolkata,4557639
25-05-2003,37.58,2003,False,Kolkata,4557639
26-05-2003,41.63,2003,True,Kolkata,4557639
27-05-2003,41.81,2003,True,Kolkata,4557639
28-05-2003,42.6,2003,True,Kolkata,4557639
29-05-2003,42.78,2003,True,Kolkata,4557639
30-05-2003,40.31,2003,True,Kolkata,4557639
31-05-2003,39.18,2003,False,Kolkata,4557639
01-06-2003,39.92,2003,False,Kolkata,4557639
02-06-2003,35.86,2003,False,Kolkata,4557639
03-06-2003,36.48,2003,False,Kolkata,4557639
04-06-2003,35.11,2003,False,Kolkata,4557639
05-06-2003,35.35,2003,False,Kolkata,4557639
06-06-2003,35.15,2003,False,Kolkata,4557639
07-06-2003,35.47,2003,False,Kolkata,4557639
08-06-2003,36.89,2003,False,Kolkata,4557639
09-06-2003,38.14,2003,False,Kolkata,4557639
10-06-2003,36.8,2003,False,Kolkata,4557639
11-06-2003,39.88,2003,False,Kolkata,4557639
12-06-2003,41.72,2003,True,Kolkata,4557639
13-06-2003,37.25,2003,False,Kolkata,4557639
14-06-2003,35.72,2003,False,Kolkata,4557639
15-06-2003,34.69,2003,False,Kolkata,4557639
16-06-2003,37.23,2003,False,Kolkata,4557639
17-06-2003,36.58,2003,False,Kolkata,4557639
18-06-2003,31.76,2003,False,Kolkata,4557639
19-06-2003,31.95,2003,False,Kolkata,4557639
20-06-2003,30.03,2003,False,Kolkata,4557639
21-06-2003,31.21,2003,False,Kolkata,4557639
22-06-2003,32.07,2003,False,Kolkata,4557639
23-06-2003,30.41,2003,False,Kolkata,4557639
24-06-2003,31.34,2003,False,Kolkata,4557639
25-06-2003,30.58,2003,False,Kolkata,4557639
26-06-2003,29.71,2003,False,Kolkata,4557639
27-06-2003,31.19,2003,False,Kolkata,4557639
28-06-2003,31.38,2003,False,Kolkata,4557639
29-06-2003,30.95,2003,False,Kolkata,4557639
30-06-2003,29.9,2003,False,Kolkata,4557639
01-07-2003,29.63,2003,False,Kolkata,4557639
02-07-2003,31.27,2003,False,Kolkata,4557639
03-07-2003,31.52,2003,False,Kolkata,4557639
04-07-2003,31.83,2003,False,Kolkata,4557639
05-07-2003,31.42,2003,False,Kolkata,4557639
06-07-2003,31.2,2003,False,Kolkata,4557639
07-07-2003,32.26,2003,False,Kolkata,4557639
08-07-2003,31.7,2003,False,Kolkata,4557639
09-07-2003,32.42,2003,False,Kolkata,4557639
10-07-2003,29.94,2003,False,Kolkata,4557639
11-07-2003,31.17,2003,False,Kolkata,4557639
12-07-2003,30.57,2003,False,Kolkata,4557639
13-07-2003,29.48,2003,False,Kolkata,4557639
14-07-2003,30.1,2003,False,Kolkata,4557639
15-07-2003,30.25,2003,False,Kolkata,4557639
16-07-2003,32.83,2003,False,Kolkata,4557639
17-07-2003,32.62,2003,False,Kolkata,4557639
18-07-2003,31.87,2003,False,Kolkata,4557639
19-07-2003,32.29,2003,False,Kolkata,4557639
20-07-2003,33.28,2003,False,Kolkata,4557639
21-07-2003,30.67,2003,False,Kolkata,4557639
